"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"adaptiveModelWithBV.nlogox"
"prolifAndDrugMolecule"
"04/09/2026 00:31:10:368 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","max-drug","resource","proliferationP-DP","blood-vessel-width","drugMolecule","invasion-threshold","adaptive-burden-threshold","bolusAmount","PRO-to-DP","invasionP-DP","adaptive-therapy","cell-count","starvingThreshold","timeInterval","startTime","resourceRate","nextBolusTime","[step]","count patches with [pcolor = black]","count patches with [pcolor = orange]","proliferationP-PRO"
"51","2600","10","0.08","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","367","5512","1318","0.085"
"49","2600","10","0.06","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","603","4496","2299","0.065"
"47","2600","10","0.04","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","603","0","0","0.045"
"56","2600","10","0.13","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","211","2156","4635","0.135"
"64","2600","10","0","0","600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","41","0","0","0.005"
"59","2600","10","0.16","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","166","3964","2856","0.165"
"65","2600","10","0.01","0","600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","52","0","0","0.015"
"58","2600","10","0.15","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","186","1336","5515","0.155"
"61","2600","10","0.18","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","156","1485","5375","0.185"
"57","2600","10","0.14","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","192","3729","3089","0.14500000000000002"
"63","2600","10","0.2","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","138","3463","3343","0.20500000000000002"
"60","2600","10","0.17","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","161","6195","667","0.17500000000000002"
"62","2600","10","0.19","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","145","2469","4353","0.195"
"66","2600","10","0.02","0","600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","98","0","0","0.025"
"67","2600","10","0.03","0","600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","186","0","0","0.034999999999999996"
"75","2600","10","0.11","0","600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","247","4569","2241","0.115"
"74","2600","10","0.1","0","600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","289","3366","3428","0.10500000000000001"
"72","2600","10","0.08","0","600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","372","5516","1299","0.085"
"76","2600","10","0.12","0","600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","241","2612","4240","0.125"
"73","2600","10","0.09","0","600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","312","5041","1763","0.095"
"77","2600","10","0.13","0","600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","207","4620","2205","0.135"
"71","2600","10","0.07","0","600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","447","4891","1932","0.07500000000000001"
"79","2600","10","0.15","0","600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","182","2800","3998","0.155"
"80","2600","10","0.16","0","600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","174","2196","4602","0.165"
"81","2600","10","0.17","0","600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","162","5488","1363","0.17500000000000002"
"78","2600","10","0.14","0","600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","195","4609","2180","0.14500000000000002"
"85","2600","10","0","0","800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","53","0","0","0.005"
"86","2600","10","0.01","0","800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","68","0","0","0.015"
"87","2600","10","0.02","0","800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","95","0","0","0.025"
"82","2600","10","0.18","0","600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","153","4416","2435","0.185"
"83","2600","10","0.19","0","600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","144","5414","1384","0.195"
"84","2600","10","0.2","0","600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","140","4262","2566","0.20500000000000002"
"70","2600","10","0.06","0","600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","610","6026","764","0.065"
"88","2600","10","0.03","0","800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","118","0","0","0.034999999999999996"
"48","2600","10","0.05","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","1165","5023","1767","0.055"
"89","2600","10","0.04","0","800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","198","0","0","0.045"
"96","2600","10","0.11","0","800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","247","5652","1138","0.115"
"95","2600","10","0.1","0","800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","286","5684","1109","0.10500000000000001"
"94","2600","10","0.09","0","800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","330","4836","1975","0.095"
"93","2600","10","0.08","0","800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","366","6003","792","0.085"
"97","2600","10","0.12","0","800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","228","5887","976","0.125"
"101","2600","10","0.16","0","800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","173","4651","2143","0.165"
"98","2600","10","0.13","0","800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","212","4689","2146","0.135"
"99","2600","10","0.14","0","800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","200","4756","2043","0.14500000000000002"
"100","2600","10","0.15","0","800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","184","3911","2932","0.155"
"102","2600","10","0.17","0","800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","164","4582","2246","0.17500000000000002"
"106","2600","10","0","0","1000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","48","0","0","0.005"
"92","2600","10","0.07","0","800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","516","5576","1213","0.07500000000000001"
"103","2600","10","0.18","0","800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","153","5675","1169","0.185"
"107","2600","10","0.01","0","1000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","67","0","0","0.015"
"105","2600","10","0.2","0","800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","140","3207","3644","0.20500000000000002"
"104","2600","10","0.19","0","800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","150","3981","2836","0.195"
"108","2600","10","0.02","0","1000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","103","0","0","0.025"
"91","2600","10","0.06","0","800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","612","6391","418","0.065"
"109","2600","10","0.03","0","1000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","181","0","0","0.034999999999999996"
"115","2600","10","0.09","0","1000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","333","5353","1451","0.095"
"116","2600","10","0.1","0","1000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","291","5399","1391","0.10500000000000001"
"114","2600","10","0.08","0","1000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","384","5879","916","0.085"
"110","2600","10","0.04","0","1000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","557","0","0","0.045"
"113","2600","10","0.07","0","1000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","449","6859","0","0.07500000000000001"
"69","2600","10","0.05","0","600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","1441","6718","73","0.055"
"117","2600","10","0.11","0","1000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","252","6247","564","0.115"
"119","2600","10","0.13","0","1000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","220","3113","3711","0.135"
"120","2600","10","0.14","0","1000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","199","3922","2874","0.14500000000000002"
"118","2600","10","0.12","0","1000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","231","5099","1709","0.125"
"121","2600","10","0.15","0","1000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","190","4388","2402","0.155"
"112","2600","10","0.06","0","1000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","628","6671","148","0.065"
"123","2600","10","0.17","0","1000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","173","899","5903","0.17500000000000002"
"124","2600","10","0.18","0","1000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","161","1335","5459","0.185"
"125","2600","10","0.19","0","1000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","143","6347","476","0.195"
"122","2600","10","0.16","0","1000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","183","3699","3104","0.165"
"127","2600","10","0","0","1200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","50","0","0","0.005"
"128","2600","10","0.01","0","1200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","71","0","0","0.015"
"126","2600","10","0.2","0","1000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","146","3906","2953","0.20500000000000002"
"129","2600","10","0.02","0","1200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","96","0","0","0.025"
"130","2600","10","0.03","0","1200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","120","0","0","0.034999999999999996"
"90","2600","10","0.05","0","800","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","1031","6820","0","0.055"
"131","2600","10","0.04","0","1200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","302","0","0","0.045"
"137","2600","10","0.1","0","1200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","262","6724","84","0.10500000000000001"
"136","2600","10","0.09","0","1200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","315","6216","617","0.095"
"139","2600","10","0.12","0","1200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","245","4646","2176","0.125"
"138","2600","10","0.11","0","1200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","260","5162","1631","0.115"
"135","2600","10","0.08","0","1200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","358","6559","239","0.085"
"134","2600","10","0.07","0","1200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","430","6791","10","0.07500000000000001"
"141","2600","10","0.14","0","1200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","200","4853","1986","0.14500000000000002"
"142","2600","10","0.15","0","1200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","196","4206","2643","0.155"
"140","2600","10","0.13","0","1200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","236","2824","3972","0.135"
"26","2600","10","0.04","0","200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","5000","0","1860","0.045"
"148","2600","10","0","0","1400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","44","0","0","0.005"
"149","2600","10","0.01","0","1400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","63","0","0","0.015"
"143","2600","10","0.16","0","1200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","173","5143","1687","0.165"
"144","2600","10","0.17","0","1200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","166","5012","1858","0.17500000000000002"
"145","2600","10","0.18","0","1200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","165","4667","2216","0.185"
"147","2600","10","0.2","0","1200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","140","4260","2576","0.20500000000000002"
"150","2600","10","0.02","0","1400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","79","0","0","0.025"
"146","2600","10","0.19","0","1200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","148","4594","2289","0.195"
"133","2600","10","0.06","0","1200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","570","6799","0","0.065"
"151","2600","10","0.03","0","1400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","276","0","0","0.034999999999999996"
"111","2600","10","0.05","0","1000","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","1027","6789","0","0.055"
"157","2600","10","0.09","0","1400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","322","6411","419","0.095"
"152","2600","10","0.04","0","1400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","390","0","0","0.045"
"158","2600","10","0.1","0","1400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","280","6070","731","0.10500000000000001"
"156","2600","10","0.08","0","1400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","413","6123","676","0.085"
"159","2600","10","0.11","0","1400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","249","5882","934","0.115"
"155","2600","10","0.07","0","1400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","458","6831","6","0.07500000000000001"
"5","2600","10","0.04","0","0","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","5000","0","6203","0.045"
"161","2600","10","0.13","0","1400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","209","5957","864","0.135"
"160","2600","10","0.12","0","1400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","237","5404","1397","0.125"
